first_committed_at	commit	file
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_two_triple_products.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_angle_between_planes.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_angle_between_vectors.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_equal_sum_diff_angle.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_find_sin_theta.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_magnitude_cross_product.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_parallelogram_diagonals.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_parallelogram_sides.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_perpendicular_find_lambda.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_perpendicular_quadratic.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_sum_diff_perpendicular.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_triangle_area_sides.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_vsaq_unit_normal_two_vectors.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_cos_half_squares.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_cos_s_minus_a.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_cos2a_sum.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_cosa_cosb_minus_cosc.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_sin_half_minus_c.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_sin_half_squares.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_sin_s_minus_a.json
2026-08-22T00:18:47+02:00	dc967ad8b0	answer-book/questions/ts_ipe_m1a_tr_sin2a_sum.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_acos2t_bsin2t.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_cos_a_2a_4a_8a.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_cos_fourth_powers.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_cot_minus_tan.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_one_over_sin10.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_product_pi_eight.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_product_pi_ten.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_root3_csc20.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_sin_fourth_powers.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_saq_tan_plus_cot.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_3sin_4cos_five.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_acos_bsin_c.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_cos340_cos40.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_cos42_cos78_cos162.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_cos48_cos12.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_cos52_sin22.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_cos9_sin9_cot36.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_cosine_period_seven.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_maxmin_3cos_4sin.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_maxmin_3sin_4cos.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_maxmin_with_constant.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_period_cos_3x.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_period_cos_fraction.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_period_sum_squares.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_period_tan5x.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_range_7cos_24sin.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_sin330_cos120.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_sin42_cos78.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_sin50_sin70_sin10.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_sine_period_two_thirds.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_tan160_tan110.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_tan50_tan40.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_tan70_tan20.json
2026-08-22T00:50:48+02:00	3c30382f23	answer-book/questions/ts_ipe_m1a_tr_vsaq_theta_third_quadrant.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_cos2t_cos8t_cos5t.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_one_plus_sin_sq.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_root2_sin_plus_cos.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_root3_sin_minus_cos.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_roots_sin_alpha_beta.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_roots_tan_theta.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_sin_sin5_sin3.json
2026-08-22T01:33:58+02:00	30233f8d80	answer-book/questions/ts_ipe_m1a_te_two_cos_sq_minus_root3.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_cos_sin_tan.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_cos_two_tan_four_tan.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_cos_two_tan_seventh.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_sin_cos_cos.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_sin_plus_two_tan.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_sin_sin_sin.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_tan_half_fifth_eighth.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_tan_three_quarters.json
2026-08-22T05:29:19+02:00	080456b3e9	answer-book/questions/ts_ipe_m1a_it_xy_yz_zx_one.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_cosh_2x_form.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_cosh_five_halves.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_cosh_minus_sinh_n.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_cosh_plus_sinh_n.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_cosh_sq_minus_sinh_sq.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_sinh_five.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_sinh_three.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_sinh_three_quarters.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_tanh_half.json
2026-08-22T10:33:03+02:00	68c4647579	answer-book/questions/ts_ipe_m1a_hf_tanh_quarter.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_13_14_15.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_a_cos_sq_half.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_a_eq_b_minus_c_sec.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_a_eq_b_plus_c_cos.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_altitudes.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_cot_half_ratio.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_find_abc_from_r.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_prove_345.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_r1_over_bc.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_ratio_789.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_a_sq_cot.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_c_is_60.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_cos_ab_ratio.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_cos_over_a.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_cot_half_sum.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_cot_ratio_357.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_cot_sum.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_four_r1r2_sum.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_r_r3_r1_minus_r2.json
2026-08-22T15:35:24+02:00	82347036be	answer-book/questions/ts_ipe_m1a_pt_saq_r1_r2_r3_minus_r.json
